Estado,Data,Area Desmatada
Acre,1988-01-01,620
Acre,1989-01-01,540
Acre,1990-01-01,550
Acre,1991-01-01,380
Acre,1992-01-01,400
Acre,1993-01-01,482
Acre,1994-01-01,482
Acre,1995-01-01,1208
Acre,1996-01-01,433
Acre,1997-01-01,358
Acre,1998-01-01,536
Acre,1999-01-01,441
Acre,2000-01-01,547
Acre,2001-01-01,419
Acre,2002-01-01,883
Acre,2003-01-01,1078
Acre,2004-01-01,728
Acre,2005-01-01,592
Acre,2006-01-01,398
Acre,2007-01-01,184
Acre,2008-01-01,254
Acre,2009-01-01,167
Acre,2010-01-01,259
Acre,2011-01-01,280
Acre,2012-01-01,305
Acre,2013-01-01,221
Acre,2014-01-01,309
Acre,2015-01-01,264
Acre,2016-01-01,372
Acre,2017-01-01,257
Acre,2018-01-01,444
Acre,2019-01-01,682
Acre,2020-01-01,706
Acre,2021-01-01,889
Acre,2022-01-01,847
Amazonas,1988-01-01,1510
Amazonas,1989-01-01,1180
Amazonas,1990-01-01,520
Amazonas,1991-01-01,980
Amazonas,1992-01-01,799
Amazonas,1993-01-01,370
Amazonas,1994-01-01,370
Amazonas,1995-01-01,2114
Amazonas,1996-01-01,1023
Amazonas,1997-01-01,589
Amazonas,1998-01-01,670
Amazonas,1999-01-01,720
Amazonas,2000-01-01,612
Amazonas,2001-01-01,634
Amazonas,2002-01-01,885
Amazonas,2003-01-01,1558
Amazonas,2004-01-01,1232
Amazonas,2005-01-01,775
Amazonas,2006-01-01,788
Amazonas,2007-01-01,610
Amazonas,2008-01-01,604
Amazonas,2009-01-01,405
Amazonas,2010-01-01,595
Amazonas,2011-01-01,502
Amazonas,2012-01-01,523
Amazonas,2013-01-01,583
Amazonas,2014-01-01,500
Amazonas,2015-01-01,712
Amazonas,2016-01-01,1129
Amazonas,2017-01-01,1001
Amazonas,2018-01-01,1045
Amazonas,2019-01-01,1434
Amazonas,2020-01-01,1512
Amazonas,2021-01-01,2306
Amazonas,2022-01-01,2607
Amapá,1988-01-01,60
Amapá,1989-01-01,130
